release_date,title,production_budget,domestic_gross,worldwide_gross,studio,foreign_gross,release_season,profit
2015-11-20 00:00:00,#Horror,1500000.0,1400000.0,0.0,unknown,18700000.0,Fall,-1500000.0
unknown,'71,17000000.0,1300000.0,1655000.0,RAtt.,355000.0,Winter,-15345000.0
2009-07-17 00:00:00,(500) Days of Summer,7500000.0,1400000.0,34439060.0,unknown,18700000.0,Summer,26939060.0
unknown,"1,000 Times Good Night",17000000.0,53900.0,18753900.0,FM,18700000.0,Winter,1753900.0
unknown,10 Cloverfield Lane,17000000.0,72100000.0,110200000.0,Par.,38100000.0,Winter,93200000.0
2016-03-11 00:00:00,10 Cloverfield Lane,5000000.0,1400000.0,108286422.0,unknown,18700000.0,Spring,103286422.0
2015-11-11 00:00:00,10 Days in a Madhouse,12000000.0,1400000.0,14616.0,unknown,18700000.0,Fall,-11985384.0
1999-03-31 00:00:00,10 Things I Hate About You,13000000.0,1400000.0,60413950.0,unknown,18700000.0,Spring,47413950.0
unknown,10 Years,17000000.0,203000.0,18903000.0,Anch.,18700000.0,Winter,1903000.0
2008-03-07 00:00:00,"10,000 B.C.",105000000.0,1400000.0,269065678.0,unknown,18700000.0,Spring,164065678.0
unknown,1001 Grams,17000000.0,11000.0,18711000.0,KL,18700000.0,Winter,1711000.0
2000-11-22 00:00:00,102 Dalmatians,85000000.0,1400000.0,66941559.0,unknown,18700000.0,Fall,-18058441.0
unknown,102 Not Out,17000000.0,1300000.0,12200000.0,Sony,10900000.0,Winter,-4800000.0
2006-08-18 00:00:00,10th & Wolf,8000000.0,1400000.0,143782.0,unknown,18700000.0,Summer,-7856218.0
unknown,11-11-11,17000000.0,32800.0,5732800.0,Rocket,5700000.0,Winter,-11267200.0
2005-08-12 00:00:00,11:14,6000000.0,1400000.0,0.0,unknown,18700000.0,Summer,-6000000.0
1957-04-13 00:00:00,12 Angry Men,340000.0,1400000.0,0.0,unknown,18700000.0,Spring,-340000.0
1995-12-27 00:00:00,12 Monkeys,29000000.0,1400000.0,168841459.0,unknown,18700000.0,Winter,139841459.0
2009-03-27 00:00:00,12 Rounds,20000000.0,1400000.0,17306648.0,unknown,18700000.0,Spring,-2693352.0
unknown,12 Strong,17000000.0,45800000.0,67400000.0,WB,21600000.0,Winter,50400000.0
2018-01-19 00:00:00,12 Strong,35000000.0,1400000.0,71118378.0,unknown,18700000.0,Winter,36118378.0
unknown,12 Years a Slave,17000000.0,56700000.0,187800000.0,FoxS,131100000.0,Winter,170800000.0
2013-10-18 00:00:00,12 Years a Slave,20000000.0,1400000.0,181025343.0,unknown,18700000.0,Fall,161025343.0
unknown,127 Hours,17000000.0,18300000.0,60700000.0,FoxS,42400000.0,Winter,43700000.0
2010-11-05 00:00:00,127 Hours,18000000.0,1400000.0,60217171.0,unknown,18700000.0,Fall,42217171.0
unknown,13 Assassins,17000000.0,803000.0,17603000.0,Magn.,16800000.0,Winter,603000.0
2004-04-23 00:00:00,13 Going On 30,37000000.0,1400000.0,97658712.0,unknown,18700000.0,Spring,60658712.0
unknown,13 Hours: The Secret Soldiers of Benghazi,17000000.0,52900000.0,69500000.0,Par.,16600000.0,Winter,52500000.0
2016-01-15 00:00:00,13 Hours: The Secret Soldiers of Benghazi,50000000.0,1400000.0,69411370.0,unknown,18700000.0,Winter,19411370.0
unknown,13 Minutes,17000000.0,162000.0,18862000.0,SPC,18700000.0,Winter,1862000.0
unknown,13 Sins,17000000.0,13800.0,18713800.0,RTWC,18700000.0,Winter,1713800.0
2014-04-18 00:00:00,13 Sins,4000000.0,1400000.0,47552.0,unknown,18700000.0,Spring,-3952448.0
unknown,14 Blades,17000000.0,1400000.0,5200000.0,RTWC,3800000.0,Winter,-11800000.0
2007-06-22 00:00:00,1408,22500000.0,1400000.0,131263370.0,unknown,18700000.0,Summer,108763370.0
2001-03-09 00:00:00,15 Minutes,42000000.0,1400000.0,56331864.0,unknown,18700000.0,Spring,14331864.0
2006-03-03 00:00:00,16 Blocks,45000000.0,1400000.0,65595141.0,unknown,18700000.0,Spring,20595141.0
2010-09-03 00:00:00,16 to Life,1000000.0,1400000.0,11574.0,unknown,18700000.0,Fall,-988426.0
2009-04-07 00:00:00,1612,12000000.0,1400000.0,5400624.0,unknown,18700000.0,Spring,-6599376.0
2009-04-17 00:00:00,17 Again,40000000.0,1400000.0,139474906.0,unknown,18700000.0,Spring,99474906.0
unknown,17 Girls,17000000.0,15100.0,201100.0,Strand,186000.0,Winter,-16798900.0
